,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income>50K
42,51,4,146181,11,5,1,4,1,3,1,0,0,40,2,0
43,48,5,38240,3,9,1,10,1,2,1,0,0,40,2,1
44,41,2,242804,3,9,1,4,1,2,1,0,0,40,2,0
45,27,2,110648,2,13,3,11,5,2,1,0,0,40,2,0
46,32,2,223212,12,1,1,6,1,2,1,0,0,40,5,0
47,48,2,320421,3,9,1,8,1,2,1,0,0,50,2,0
48,40,2,184471,6,10,2,6,4,2,1,0,0,40,2,0
49,30,6,54318,7,7,1,4,1,2,1,0,0,40,2,0
50,51,2,165637,5,14,1,1,1,2,1,0,0,40,2,0
51,37,2,135089,6,10,2,5,3,2,2,0,0,56,2,0
52,66,2,236879,12,1,5,12,2,2,2,0,0,40,6,0
53,60,2,101198,13,11,2,5,4,2,1,0,0,20,2,0
54,20,2,332194,3,9,3,9,5,3,1,0,0,20,2,0
55,76,2,82628,14,4,1,5,1,2,1,0,0,45,2,0
56,35,2,276552,3,9,2,3,4,2,1,0,0,40,2,0
57,45,2,214627,4,16,5,1,3,2,1,15020,0,40,7,1
58,51,1,120781,1,15,1,1,1,4,1,99999,0,70,1,1
59,52,4,146565,10,12,2,5,4,2,2,4865,0,30,2,0
60,33,2,176185,8,8,2,3,4,2,1,0,2258,42,2,0
61,38,6,149135,10,12,3,7,4,3,1,0,0,40,2,0
62,35,6,227128,3,9,2,3,5,2,1,0,0,40,2,0
63,34,2,140092,3,9,3,11,4,2,1,0,0,40,2,0
64,18,2,192022,6,10,3,5,5,2,1,0,0,20,2,0
65,44,2,163215,8,8,2,6,3,2,2,0,0,40,2,0
66,42,1,217597,3,9,2,8,5,2,1,0,0,50,2,0
67,47,4,140644,6,10,1,13,1,2,1,0,0,40,2,1
68,26,2,37898,13,11,3,3,4,2,1,0,0,65,2,0
69,33,2,240763,6,10,1,6,1,3,1,0,0,40,2,0
70,42,2,136986,3,9,1,3,1,2,1,7688,0,50,2,1
71,51,4,101119,3,9,1,13,1,2,1,0,0,70,2,0
72,59,1,124771,2,13,1,10,1,2,1,0,0,30,2,0
73,31,2,171871,5,14,3,1,4,2,2,0,0,46,2,0
74,45,2,135339,6,10,1,3,1,1,1,0,0,45,2,0
75,39,1,222204,6,10,2,5,4,2,2,3325,0,40,2,0
76,56,3,255386,6,10,1,7,1,1,1,0,0,40,8,0
77,35,2,211154,3,9,1,8,1,2,1,0,0,45,2,0
78,75,1,31428,3,9,1,10,1,2,1,3456,0,40,2,0
79,71,1,31781,3,9,1,10,1,2,1,0,1510,35,2,0
80,46,1,317253,3,9,1,3,1,2,1,0,0,25,2,0
81,37,2,333305,4,16,1,1,6,2,2,0,0,35,2,0
82,30,2,337908,10,12,1,7,6,3,2,0,0,20,2,0
83,75,6,220618,6,10,5,7,4,2,2,0,0,10,2,0
84,29,2,179768,6,10,1,3,1,2,1,0,0,50,2,0
85,51,2,231919,7,7,1,3,1,2,1,0,0,45,2,0
86,41,2,34037,3,9,3,9,4,2,1,0,0,40,2,0
87,18,2,28357,6,10,3,1,5,2,2,0,0,20,2,0
88,30,4,19302,3,9,1,3,1,2,1,4386,0,70,9,1
89,35,2,200426,13,11,4,1,3,2,2,0,0,44,2,0
90,40,2,240698,2,13,1,2,1,2,1,0,0,50,2,1
91,39,2,193689,6,10,1,6,1,2,1,0,0,40,2,0
92,42,4,263871,3,9,1,7,1,2,1,0,0,8,2,0
93,46,5,283004,13,11,2,2,3,1,2,0,0,63,10,0
94,40,3,199303,10,12,1,1,1,2,1,0,0,40,2,1
95,31,4,48520,10,12,3,13,3,2,1,0,0,40,2,0
96,23,2,181820,6,10,3,9,5,2,1,0,0,20,2,0
97,68,5,31661,3,9,1,10,1,2,1,0,0,65,2,0
98,41,2,183203,3,9,1,4,1,2,1,0,0,50,2,1
99,23,4,250165,2,13,3,1,5,2,2,594,0,40,2,0
100,17,2,313444,8,8,3,8,5,2,2,0,0,20,2,0
101,54,2,146551,3,9,1,7,1,2,1,0,0,54,2,1
102,36,2,188571,3,9,1,3,1,2,1,0,0,40,2,0
103,60,2,216574,2,13,2,2,4,2,2,0,0,40,2,1
104,53,4,283602,5,14,1,1,6,2,2,15024,0,40,2,1
105,54,2,155408,3,9,5,9,3,2,2,0,0,40,2,0
106,25,4,206002,3,9,2,11,3,2,2,0,0,40,2,0
107,21,2,92863,3,9,3,6,4,2,1,0,0,40,2,0
108,34,2,157024,15,6,3,5,3,3,2,0,0,20,2,0
109,57,2,217886,3,9,5,7,4,2,2,0,0,36,2,0
110,41,2,96635,3,9,3,2,4,1,1,0,0,60,2,0
111,32,2,206541,7,7,2,3,5,2,1,0,0,50,2,0
112,28,4,197932,6,10,3,7,5,2,2,0,0,16,2,0
113,47,2,268022,3,9,1,4,1,2,1,0,0,55,2,1
114,39,2,121468,2,13,3,2,5,1,2,0,0,35,2,0
115,26,2,410240,7,7,3,3,4,2,1,0,0,40,2,0
116,29,4,211032,10,12,1,13,1,2,1,0,0,72,2,1
117,30,2,112115,3,9,1,6,1,2,1,0,0,60,11,1
118,27,2,124953,3,9,3,5,4,2,1,0,1980,40,2,0
119,46,3,344415,5,14,1,14,1,2,1,0,1887,40,2,1
120,33,2,198727,3,9,2,11,4,2,2,0,0,40,2,0
121,23,2,193586,6,10,6,10,2,2,2,0,0,40,2,0
122,24,2,108495,3,9,3,1,5,2,1,0,0,40,2,0
123,50,2,125417,2,13,1,2,1,2,1,7298,0,65,2,1
124,46,2,110151,13,11,2,2,3,2,2,0,0,45,2,0
125,37,1,150993,7,7,1,4,1,2,1,0,0,45,2,0
126,47,4,246891,2,13,1,13,1,2,1,0,0,40,2,0
127,55,2,107308,13,11,1,6,1,2,1,0,0,40,2,0
128,43,2,194636,2,13,1,3,1,2,1,0,0,48,2,1
129,55,2,200992,6,10,5,5,4,2,2,0,0,35,2,0
130,37,2,280966,6,10,1,6,1,2,1,0,0,50,2,1
131,34,2,235271,6,10,3,6,5,2,1,0,0,86,2,1
132,41,2,307589,2,13,1,1,6,1,2,0,0,5,12,0
133,49,2,48120,3,9,3,4,3,3,2,1506,0,40,2,0
134,58,2,142182,3,9,1,3,1,2,1,0,0,25,2,0
135,23,2,62507,6,10,3,1,4,2,2,0,0,12,2,0
136,57,2,190942,16,2,5,12,4,3,2,0,0,30,2,0
137,35,2,112158,15,6,1,3,1,2,1,0,0,40,2,0
138,30,2,143526,2,13,3,8,5,2,1,0,0,40,2,0
139,21,2,26842,6,10,3,8,4,2,2,0,0,20,2,0
140,31,2,175548,3,9,3,5,4,4,2,0,0,35,2,0
141,53,6,197184,5,14,1,2,1,2,1,0,0,70,2,1
142,66,5,197816,2,13,1,2,1,2,1,10605,0,40,2,1
143,58,2,107897,2,13,1,2,1,2,1,7688,0,40,2,1
144,26,2,187248,3,9,1,1,4,3,1,0,0,40,2,0
145,27,2,445365,2,13,3,7,4,2,1,0,0,40,2,0
146,20,2,163911,6,10,3,1,5,2,2,0,0,40,2,0
147,51,2,163027,3,9,2,9,3,2,2,0,0,20,2,0
148,43,2,243580,2,13,1,1,1,2,1,0,0,40,2,1
149,37,2,259882,13,11,3,8,3,3,2,0,0,6,2,0
150,20,2,190772,10,12,3,5,4,2,2,0,0,40,2,0
151,38,2,101387,3,9,1,5,6,2,2,0,0,43,2,0
152,27,2,267325,3,9,1,8,6,2,2,3464,0,40,2,0
153,44,5,64632,4,16,1,1,1,2,1,0,0,60,2,0
154,39,2,205338,2,13,1,8,1,2,1,0,0,60,2,0
155,50,2,163671,3,9,1,3,1,2,1,0,0,40,2,0
156,64,2,217802,3,9,5,3,4,2,2,0,0,40,2,0
157,61,2,119684,3,9,1,5,1,2,1,0,0,50,2,0
158,38,4,123983,2,13,3,2,3,1,1,0,1741,40,3,0
159,31,2,163303,13,11,2,8,5,2,2,0,0,38,2,0
160,19,2,40425,6,10,3,8,4,2,2,0,0,28,2,0
161,37,5,291518,2,13,1,3,1,2,1,15024,0,55,2,1
162,24,2,174845,3,9,3,7,4,2,2,0,0,40,2,0
163,39,2,191342,2,13,1,3,1,1,1,0,0,40,12,1
164,34,2,173854,5,14,2,2,4,2,1,27828,0,60,2,1
165,24,2,196388,10,12,3,1,4,2,1,0,0,12,2,0
166,38,2,143123,3,9,1,3,1,2,1,0,0,40,2,0
167,33,1,24504,6,10,1,3,1,2,1,0,0,60,2,0
168,33,2,400416,15,6,3,5,5,3,1,0,0,20,2,0
169,25,2,174545,3,9,3,7,3,2,2,0,0,46,2,0
170,36,1,258289,3,9,3,3,5,2,1,0,0,35,2,0
171,49,2,82572,6,10,3,5,4,2,2,0,0,60,2,0
172,39,3,257175,2,13,2,11,3,3,2,0,625,40,2,0
173,26,2,152855,3,9,3,2,5,4,2,0,0,40,5,0
174,70,2,278139,3,9,1,8,1,2,1,3432,0,40,2,0
175,57,1,57071,6,10,1,3,1,2,1,3137,0,40,2,0
176,28,2,109001,5,14,1,1,1,2,1,0,0,38,2,1
177,19,2,282698,14,4,3,7,5,2,1,0,0,80,2,0
178,34,3,341051,5,14,1,7,1,2,1,0,0,50,2,1
179,21,2,376393,3,9,3,7,5,2,2,0,0,25,2,0
180,38,2,324053,2,13,1,8,1,2,1,0,0,40,2,1
181,90,2,51744,3,9,3,5,4,3,1,0,2206,40,2,0
182,32,5,124052,3,9,1,8,1,2,1,0,0,50,2,0
183,33,2,272669,10,12,3,7,3,1,1,0,0,30,13,0
184,46,1,525848,7,7,1,4,1,3,1,0,0,48,2,0
185,34,1,313729,2,13,1,8,1,2,1,0,0,60,2,1
186,41,2,173858,3,9,1,5,1,1,1,0,0,40,14,0
187,19,2,80978,3,9,3,1,5,2,2,0,0,25,2,0
188,33,1,175502,2,13,1,1,1,2,1,0,0,60,2,0
189,30,2,53285,13,11,1,6,1,2,1,0,0,40,2,0
190,25,2,135845,6,10,3,7,5,2,2,0,0,40,2,0
191,25,2,188507,14,4,3,6,2,2,2,0,0,40,15,0
192,17,2,95446,15,6,3,5,5,2,1,0,0,15,2,0
193,47,2,274200,7,7,1,3,1,2,1,7298,0,40,2,1
194,51,2,105788,9,3,6,5,3,3,2,0,0,40,16,0
195,31,2,31510,10,12,1,3,1,2,1,0,0,40,2,0
196,33,2,195770,3,9,1,6,1,2,1,0,0,40,2,0
197,51,2,89652,3,9,2,7,3,2,2,4787,0,24,2,1
198,32,2,133530,5,14,1,1,6,1,2,0,0,20,2,0
199,24,2,192201,6,10,3,2,4,3,2,0,0,20,2,0
200,45,3,90533,2,13,3,2,4,2,2,0,0,45,2,0
201,41,2,143003,13,11,1,5,1,1,1,7298,0,60,1,1
202,25,2,186370,3,9,1,9,1,2,1,0,0,40,2,0
203,31,2,66815,3,9,1,3,1,2,1,0,0,50,2,0
204,24,2,186221,7,7,2,8,3,2,2,0,0,35,2,0
205,48,5,192945,3,9,1,2,1,2,1,7688,0,40,2,1
206,59,2,220783,15,6,5,1,3,2,2,0,0,40,2,0
207,37,1,326400,3,9,1,4,1,2,1,0,0,30,2,0
208,41,2,211253,5,14,1,2,6,2,2,0,0,40,2,1
209,38,1,331374,7,7,1,5,1,2,1,0,0,60,2,0
210,56,2,102106,3,9,1,9,1,2,1,0,0,40,2,0
211,34,2,35595,13,11,1,11,1,2,1,0,0,40,2,0
212,81,2,98116,2,13,5,8,4,2,1,0,0,50,2,1
213,36,4,101833,2,13,6,1,4,2,1,0,0,40,2,0
214,26,2,112847,13,11,3,11,5,2,1,0,0,40,2,0
215,29,2,134813,3,9,1,3,1,2,1,0,0,50,2,0
216,41,2,116391,2,13,1,2,1,2,1,0,0,40,2,1
217,59,2,750972,3,9,1,6,1,2,1,0,0,40,2,0
218,31,2,80511,10,12,2,11,4,2,2,0,0,44,2,0
219,24,2,314440,3,9,3,6,4,2,2,0,0,40,2,0
220,31,2,164243,6,10,1,3,1,2,1,0,1579,40,2,0
221,20,2,325033,8,8,3,5,5,3,1,0,0,35,2,1
222,32,2,164197,2,13,1,2,1,2,1,0,0,60,2,1
223,25,3,207342,6,10,3,2,4,3,1,0,0,40,2,0
224,43,1,245056,12,1,1,4,1,3,1,0,0,40,17,0
225,45,2,196584,13,11,3,1,4,2,2,0,1564,40,2,1
226,50,3,251585,2,13,2,2,4,2,1,0,0,55,2,1
227,40,2,59916,3,9,1,3,1,2,1,0,0,40,2,0
228,60,1,95445,6,10,1,4,1,2,1,3137,0,46,2,0
229,31,1,325355,2,13,1,2,6,2,2,0,1902,40,2,1
230,19,2,69182,6,10,3,5,5,2,2,0,0,27,2,0
231,36,2,229180,6,10,2,3,3,2,2,0,0,40,18,0
232,27,1,259873,3,9,1,5,1,3,1,0,0,60,2,1
233,26,2,366889,3,9,3,4,4,2,1,0,0,40,2,0
234,38,2,207568,2,13,1,2,1,2,1,5178,0,40,2,1
235,49,2,50567,6,10,2,7,4,2,2,0,0,32,2,0
236,43,2,196344,9,3,1,5,1,2,1,0,0,40,5,0
237,19,2,196857,7,7,3,7,5,2,2,594,0,15,2,0
238,31,2,209101,2,13,1,2,1,2,1,0,0,50,2,1
239,46,4,199281,2,13,6,1,3,2,1,0,0,40,2,0
240,17,2,165361,15,6,3,1,5,2,1,0,0,40,2,0
241,60,2,198727,3,9,1,1,1,2,1,0,0,30,2,0
242,36,6,180220,3,9,1,2,1,2,1,0,0,50,2,0
243,47,2,78022,10,12,1,8,1,2,1,0,0,50,2,0
244,81,6,132204,16,2,5,5,4,2,2,0,0,20,2,0
245,32,2,56150,3,9,1,8,1,2,1,0,0,40,2,0
246,44,2,201599,7,7,3,6,3,3,2,0,0,40,2,0
247,36,6,116554,2,13,3,7,4,2,2,0,0,40,2,0
248,30,2,275232,10,12,3,1,3,3,2,0,0,36,2,0
249,85,2,188328,5,14,5,1,4,2,2,0,0,5,2,0
250,30,6,136997,3,9,2,2,3,2,2,0,0,40,2,0
251,18,2,251923,7,7,3,8,5,2,2,0,0,15,2,0
252,27,2,236481,1,15,3,1,4,1,1,0,0,10,1,0
253,38,2,82622,6,10,2,3,3,2,1,0,0,40,2,0
254,21,2,219137,15,6,3,5,5,3,1,0,0,25,2,0
255,18,2,209792,6,10,3,5,5,2,2,0,0,40,2,0
256,33,1,24504,3,9,6,3,2,2,1,0,0,50,2,0
257,28,2,354095,6,10,3,8,4,2,2,0,0,40,2,0
258,19,2,190817,6,10,3,8,5,2,2,0,0,40,2,0
259,38,4,227154,2,13,1,3,1,1,1,0,0,40,12,0
260,27,2,54897,3,9,1,9,1,2,1,0,0,40,2,0
261,42,1,373403,3,9,1,10,1,2,1,0,0,50,2,0
262,21,2,89991,6,10,3,7,5,2,2,0,0,40,2,0
263,31,2,243142,3,9,2,6,3,2,2,0,0,40,2,0
264,57,2,69884,3,9,1,8,1,2,1,0,0,40,2,1
265,34,2,189809,6,10,1,2,1,3,1,0,0,52,19,0
266,39,2,58343,6,10,1,6,1,2,1,0,0,40,2,1
267,31,2,100734,4,16,3,1,4,2,2,0,0,28,2,0
268,26,2,181666,6,10,1,6,6,2,2,0,0,40,2,0
269,24,2,122234,6,10,3,7,4,3,2,0,0,20,2,0
270,38,2,237091,6,10,4,5,3,2,2,0,0,36,20,0
271,21,1,409230,6,10,3,7,5,2,1,0,0,30,2,0
272,51,2,293802,9,3,1,9,1,3,1,0,0,52,2,0
273,48,2,136455,6,10,2,8,4,2,2,0,0,16,2,0
274,30,2,77634,3,9,1,2,1,2,1,0,0,40,2,0
275,60,2,367695,10,12,1,7,1,2,1,0,0,40,2,1
276,26,6,205333,2,13,3,1,4,2,2,0,0,10,2,0
277,48,1,28791,3,9,1,8,6,2,2,0,0,50,2,0
278,42,2,413297,6,10,1,11,1,2,1,0,0,40,2,0
279,42,4,96524,3,9,1,2,1,2,1,0,0,60,2,1
280,38,2,249720,13,11,2,1,3,3,2,0,0,40,2,0
281,48,2,41411,6,10,2,1,4,2,2,0,0,50,2,0
282,21,2,109667,6,10,3,5,5,2,1,0,0,40,2,0
283,38,2,196123,3,9,1,3,1,2,1,0,0,50,2,0
284,36,2,116608,3,9,2,6,3,2,2,0,0,38,2,0
285,50,2,474229,3,9,2,6,5,2,1,0,0,40,2,0
286,34,2,197688,3,9,3,1,4,3,2,0,0,40,2,0
287,23,2,114939,6,10,3,5,5,2,2,0,0,30,2,0
288,50,4,163576,5,14,3,1,4,2,2,0,0,50,2,1
289,43,2,199657,3,9,6,7,3,2,2,0,0,20,2,0
290,22,2,180052,6,10,3,8,5,2,1,0,0,20,2,0
291,45,2,358701,8,8,3,5,5,2,1,0,0,10,5,0
292,21,2,225823,6,10,3,7,4,2,2,0,0,40,2,0
293,90,2,77053,3,9,5,1,4,2,2,0,4356,40,2,0
294,29,1,29616,3,9,3,10,5,2,1,0,0,65,2,0
295,41,2,197919,3,9,1,7,6,2,2,0,0,60,2,0
296,62,2,26966,6,10,5,7,4,2,2,0,0,40,2,0
297,38,4,134444,6,10,1,13,1,2,1,0,0,72,2,0
298,32,2,36467,10,12,1,7,1,2,1,0,0,45,2,1
299,55,2,206487,6,10,1,1,1,2,1,0,0,40,2,1
300,61,2,90051,14,4,1,6,6,2,2,3456,0,44,21,0
301,34,2,226883,3,9,6,3,3,2,1,0,0,49,2,0
302,20,2,353696,6,10,3,7,5,2,1,0,0,28,2,0
303,26,4,189027,3,9,1,4,1,2,1,0,0,40,2,0
304,42,2,31251,13,11,1,8,1,2,1,0,0,37,2,0
305,39,2,155603,6,10,3,5,5,3,2,0,2205,40,2,0
306,34,5,343789,2,13,1,2,1,2,1,7688,0,55,2,1
307,33,2,238381,6,10,3,3,4,3,1,8614,0,40,2,1
308,28,2,174327,3,9,1,6,1,2,1,0,0,50,2,0
309,21,2,239577,6,10,3,7,5,2,1,0,0,40,2,0
310,47,2,187969,7,7,2,5,4,2,2,0,0,38,2,0
311,55,2,170994,3,9,3,1,4,2,2,0,0,40,2,0
312,57,1,103948,1,15,1,1,1,2,1,0,0,30,2,1
313,44,2,67671,6,10,1,9,1,2,1,0,0,40,2,0
314,20,2,403519,3,9,3,5,4,2,1,0,1719,33,2,0
315,21,4,596776,6,10,3,7,5,2,1,0,0,40,6,0
316,33,2,118941,2,13,1,2,6,2,2,0,0,40,2,1
317,20,2,49179,6,10,3,1,4,2,1,0,0,35,2,0
318,53,2,350131,2,13,1,1,6,2,2,0,0,48,2,1
319,18,2,437851,6,10,3,1,5,2,1,0,0,40,2,0
320,17,2,270587,7,7,3,5,5,2,1,0,0,20,4,0
321,22,2,189277,3,9,3,6,3,3,2,0,0,40,2,0
322,23,6,251325,6,10,3,8,4,1,2,0,0,8,2,0
323,40,2,173001,6,10,1,11,5,2,2,0,1902,40,2,1
324,42,2,171841,1,15,1,1,1,2,1,0,0,60,2,0
325,33,2,171637,3,9,1,1,5,2,2,0,0,20,2,0
326,48,2,278530,3,9,2,3,3,2,1,0,0,40,2,0
327,65,2,172815,6,10,1,10,1,2,1,0,0,40,2,0
328,43,2,146770,3,9,4,7,3,2,2,0,0,40,2,0
329,33,2,158438,3,9,1,8,1,2,1,0,0,55,2,1
330,30,2,148524,3,9,1,4,1,2,1,0,2057,40,2,0
331,34,1,156890,3,9,1,2,1,2,1,0,0,50,2,0
332,33,2,231826,7,7,1,3,1,2,1,0,0,40,5,0
333,39,2,214117,6,10,2,3,3,3,1,0,0,40,2,0
334,32,2,343789,3,9,1,6,1,2,1,5013,0,55,2,0
335,27,2,147280,7,7,3,5,5,4,1,0,0,40,2,0
336,24,2,106085,3,9,3,5,5,3,1,0,1721,30,2,0
337,69,1,215926,14,4,1,5,1,2,1,0,0,35,2,0
338,28,2,211184,6,10,3,8,4,2,2,0,0,50,2,0
339,23,2,163665,3,9,3,2,4,2,2,0,0,32,2,0
340,37,1,50096,13,11,1,3,1,2,1,0,0,30,2,0
341,52,1,417227,3,9,1,4,1,2,1,0,0,70,2,0
342,50,2,23686,6,10,1,7,2,2,2,0,0,35,2,1
343,17,2,160968,7,7,3,7,5,2,1,0,0,16,2,0
344,36,2,187098,3,9,2,7,3,2,2,0,0,40,2,0
345,27,2,175387,2,13,3,2,4,2,1,0,1876,40,2,0
346,51,2,191659,6,10,1,2,1,2,1,0,1887,65,2,1
347,67,4,272587,14,4,5,5,4,2,2,1086,0,15,2,0
348,37,5,593246,2,13,3,5,4,2,2,0,0,50,2,1
349,64,1,165479,3,9,1,8,1,2,1,0,0,5,2,0
350,31,2,158144,6,10,3,7,4,2,2,0,0,40,2,0
351,18,2,140164,7,7,3,8,5,2,2,0,0,40,2,0
352,39,2,326342,7,7,1,5,1,3,1,2635,0,37,2,0
353,41,2,126622,7,7,2,9,3,2,2,0,0,40,2,0
354,42,2,409902,3,9,3,2,3,3,2,0,0,25,2,0
355,51,2,257756,3,9,1,1,6,2,2,0,0,50,2,1
356,37,1,216473,15,6,1,3,1,2,1,0,0,30,2,0
357,30,2,239648,6,10,3,6,3,1,1,0,0,40,22,0
358,24,2,333505,3,9,4,4,5,2,1,0,0,40,20,0
359,28,2,472580,6,10,3,8,5,3,1,0,0,40,2,0
360,41,2,207578,10,12,1,2,1,3,1,0,0,50,1,1
361,35,2,302149,6,10,1,3,1,1,1,0,0,40,22,1
362,32,2,153326,2,13,1,1,2,2,1,0,0,40,2,0
363,31,2,163003,10,12,3,1,2,1,2,0,0,40,12,0
364,22,2,204226,3,9,3,2,5,2,2,0,0,40,2,0
365,32,2,53373,6,10,1,3,1,2,1,0,0,36,2,0
366,36,2,113397,3,9,1,9,1,2,1,0,0,40,2,0
367,49,2,83444,3,9,2,2,4,2,1,0,0,40,2,0
368,25,6,129200,6,10,3,4,4,3,1,0,0,40,2,0
369,47,4,244813,3,9,1,2,1,2,1,0,0,40,2,0
370,72,2,118902,4,16,1,1,1,2,1,0,2392,6,2,1
371,48,2,202117,7,7,2,5,4,2,2,0,0,34,2,0
372,46,2,261688,3,9,2,3,4,2,1,0,0,40,2,0
373,21,2,51047,3,9,3,7,4,2,2,0,0,25,2,0
374,39,5,135500,3,9,1,2,1,2,1,0,1977,40,2,1
375,52,2,110563,6,10,1,2,1,2,1,0,0,40,2,1
376,22,2,205839,6,10,3,5,4,2,1,0,0,45,2,0
377,33,2,194901,3,9,3,3,4,2,1,0,0,45,2,0
378,65,2,193216,3,9,1,8,1,2,1,9386,0,40,2,1
379,50,1,42402,1,15,1,1,1,2,1,0,2415,30,2,1
380,22,4,200109,2,13,3,1,5,2,2,0,0,15,2,0
381,56,2,126677,3,9,1,6,1,2,1,3103,0,40,2,1
382,56,2,179127,15,6,1,3,1,2,1,0,0,35,23,0
383,44,1,197558,1,15,1,1,1,2,1,0,0,70,2,1
384,53,5,246562,9,3,1,8,1,2,1,0,0,40,5,1
385,19,4,292962,3,9,3,3,2,3,2,0,0,40,2,0
386,28,2,197288,7,7,3,1,3,3,2,0,0,30,2,0
387,22,2,206974,2,13,3,8,4,2,2,0,0,40,2,0
388,25,2,211424,2,13,3,2,5,2,1,0,0,40,2,0
389,60,2,251572,3,9,5,1,4,2,1,0,0,35,24,0
390,40,4,208751,2,13,2,1,3,2,2,0,0,40,2,0
391,68,2,75913,8,8,5,8,4,2,2,0,0,30,2,0
392,30,2,180317,13,11,2,6,4,2,1,0,0,40,2,0
393,30,2,218551,13,11,1,8,1,2,1,0,0,45,2,1
394,44,6,185832,2,13,1,7,1,2,1,0,0,46,2,1
395,37,2,205339,6,10,3,11,4,2,1,0,0,40,2,1
396,26,2,293984,15,6,1,3,5,3,1,0,0,40,2,0
397,32,2,132601,2,13,1,1,1,2,1,0,0,50,2,0
398,51,2,123703,3,9,1,6,1,2,1,4386,0,40,2,1
399,35,2,161496,6,10,2,8,4,2,1,0,0,50,2,0
400,26,2,243786,2,13,3,5,4,2,2,0,0,38,2,0
401,33,2,33117,10,12,1,13,1,2,1,0,0,40,2,0
402,44,2,57600,6,10,1,7,6,2,2,0,0,38,2,0
403,44,3,151933,6,10,1,7,1,2,1,0,1485,40,2,1
404,25,2,176162,2,13,3,9,5,2,1,0,0,40,2,0
405,34,2,157886,10,12,6,5,3,2,2,0,0,40,2,0
406,44,2,43711,2,13,3,5,4,2,1,0,0,48,2,0
407,23,2,149204,2,13,3,2,5,2,1,0,0,40,2,0
408,58,2,52090,1,15,2,11,3,2,1,0,0,40,2,1
409,24,2,190293,2,13,3,1,4,2,2,0,0,40,2,0
410,62,1,122246,5,14,2,1,3,2,2,0,0,32,2,0
411,43,2,245056,3,9,1,7,1,3,1,0,0,40,2,1
412,61,1,201273,6,10,5,6,4,2,2,0,0,40,2,0
413,69,2,172354,13,11,5,7,4,2,2,1848,0,50,2,0
414,62,2,319582,3,9,5,8,4,2,2,0,0,32,2,0
415,31,1,213307,15,6,1,5,6,2,2,0,0,28,5,0
416,65,5,410199,2,13,1,2,1,2,1,9386,0,35,2,1
417,44,2,320984,2,13,1,8,1,2,1,0,0,60,2,1
